latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
36.82249,39.183,305.3,1.18,1.08,2025-06-27,0020,A,64,6.1NRT,291.5,8.34,N
36.82088,39.19599,305.26,1.18,1.08,2025-06-27,0020,A,64,6.1NRT,292.94,7.88,N
36.81303,39.10176,303.77,1.19,1.09,2025-06-27,0020,A,57,6.1NRT,291.69,8.05,N
35.6877,43.87938,342.69,1.07,1.03,2025-06-27,0020,A,100,6.1NRT,298.99,51.91,N
35.66349,43.96852,323.81,1.08,1.04,2025-06-27,0020,A,100,6.1NRT,299.91,21.43,N
35.62877,44.00777,322.99,1.08,1.04,2025-06-27,0020,A,100,6.1NRT,298.33,21.63,N
35.62683,44.01921,310.06,1.08,1.04,2025-06-27,0020,A,78,6.1NRT,297.34,8.94,N
35.53643,44.34135,319.57,1.11,1.05,2025-06-27,0020,A,99,6.1NRT,298.17,17.62,N
35.5273,44.33908,308.32,1.11,1.05,2025-06-27,0020,A,73,6.1NRT,297.78,7.35,N
35.5253,44.35083,310.53,1.11,1.05,2025-06-27,0020,A,79,6.1NRT,297.76,8.93,N
34.98976,46.02355,312.6,1.36,1.15,2025-06-27,0020,A,85,6.1NRT,296.39,13.13,N
34.9869,46.03872,314.86,1.36,1.15,2025-06-27,0020,A,90,6.1NRT,297.43,16.32,N
34.9775,46.03305,311.52,1.36,1.15,2025-06-27,0020,A,83,6.1NRT,295.23,12.25,N
34.97876,46.02747,309.1,1.36,1.15,2025-06-27,0020,A,76,6.1NRT,295.68,10.37,N
34.90042,43.8074,333.04,1.08,1.04,2025-06-27,0020,A,100,6.1NRT,299.47,35.49,N
34.89853,43.81882,309.57,1.09,1.04,2025-06-27,0020,A,76,6.1NRT,297.21,8.55,N
34.86399,44.02588,316.15,1.1,1.05,2025-06-27,0020,A,92,6.1NRT,300.1,13.87,N
33.69501,46.23189,311.33,1.48,1.2,2025-06-27,0022,A,82,6.1NRT,295.46,16.02,N
32.24977,51.43056,302.64,3.51,1.76,2025-06-27,0022,A,50,6.1NRT,291.35,34.27,N
33.22723,44.76493,308.95,1.25,1.11,2025-06-27,0022,A,73,6.1NRT,297.54,9.42,N
33.22494,44.77783,309.12,1.25,1.11,2025-06-27,0022,A,73,6.1NRT,298.91,9.57,N
32.49805,47.21417,311.33,1.8,1.32,2025-06-27,0022,A,42,6.1NRT,300.44,16.05,N
32.36325,47.71246,316.69,1.96,1.37,2025-06-27,0022,A,94,6.1NRT,299.5,33.24,N
32.35146,47.70936,314.69,1.96,1.37,2025-06-27,0022,A,90,6.1NRT,300.01,28.67,N
32.25797,47.24698,307.51,1.83,1.33,2025-06-27,0022,A,70,6.1NRT,296.71,15.54,N
32.17728,47.52433,308.93,1.92,1.35,2025-06-27,0022,A,76,6.1NRT,297.97,18.62,N
32.11373,47.56105,311.21,1.94,1.36,2025-06-27,0022,A,82,6.1NRT,298.78,22.78,N
32.11784,47.41965,321.97,1.9,1.35,2025-06-27,0022,A,100,6.1NRT,298.13,46.82,N
31.31722,49.29437,310.41,2.65,1.56,2025-06-27,0022,A,80,6.1NRT,297.41,34.31,N
31.32333,49.29115,312.31,2.65,1.56,2025-06-27,0022,A,85,6.1NRT,297.85,40.1,N
31.40486,48.65102,307.76,2.39,1.49,2025-06-27,0022,A,72,6.1NRT,297.41,21.16,N
31.13941,49.31396,312.96,2.69,1.57,2025-06-27,0022,A,86,6.1NRT,297.38,40.46,N
31.13352,49.34053,315.33,2.7,1.57,2025-06-27,0022,A,91,6.1NRT,296.59,49.94,N
31.43864,47.8435,307.09,2.1,1.41,2025-06-27,0022,A,70,6.1NRT,296.47,19.45,N
31.12689,49.33363,314.3,2.7,1.57,2025-06-27,0022,A,89,6.1NRT,297.38,42.99,N
31.76665,46.05365,316.46,1.58,1.24,2025-06-27,0022,A,93,6.1NRT,298.48,24.22,N
31.27797,48.11672,332.52,2.21,1.44,2025-06-27,0022,A,100,6.1NRT,297.34,98.63,N
